sequence	uuid	sample_barcode	sample_name	plate_name	plate_well_position	germplasm_name	number_of_plants	germplasm_pedigree	germplasm_type	germplasm_par1	germplasm_par1_type	germplasm_par2	germplasm_par2_type	dnasample_sample_group	dnasample_sample_group_cycle	Submergence	Submergence.1	Drought
74	11a2ce3c-81c2-4da1-9589-68db3c79a5df	23442210989652779494033236806092826079	XBL-167-74	Plate-44401	B10	XBL-167	191	KR 104*2/SIKA	BC1F1	KR 104	DP	SIKA	RP	xbl-2018-P3				
75	533f7a3d-43d4-408b-b19a-b54709cbc6f9	110655517660117363205668213543205062393	XBL-167-75	Plate-44401	C10	XBL-167	191	KR 104*2/SIKA	BC1F1	KR 104	DP	SIKA	RP	xbl-2018-P3				
76	0e02357c-a1d7-449d-97db-28ae45b7d45b	18620661376794366843676431134462825563	XBL-167-76	Plate-44401	D10	XBL-167	191	KR 104*2/SIKA	BC1F1	KR 104	DP	SIKA	RP	xbl-2018-P3				
77	9cc91905-ccc5-4bd4-b58e-04001f7d94c5	208403726530766738880707650998130021573	XBL-167-77	Plate-44401	E10	XBL-167	191	KR 104*2/SIKA	BC1F1	KR 104	DP	SIKA	RP	xbl-2018-P3				
78	359537cc-2d0c-40c7-8582-f536fbea4a39	71223867717537222796124403668425001529	XBL-167-78	Plate-44401	F10	XBL-167	191	KR 104*2/SIKA	BC1F1	KR 104	DP	SIKA	RP	xbl-2018-P3				
79	d2221b3a-4a84-4d08-b713-8602f25419b5	279314969451377074589556381305164536245	XBL-167-79	Plate-44401	G10	XBL-167	191	KR 104*2/SIKA	BC1F1	KR 104	DP	SIKA	RP	xbl-2018-P3				
80	0c28119a-3f14-4344-a110-c749c1ac16a5	16158784845382724654768077636536899237	XBL-167-80	Plate-44401	H10	XBL-167	191	KR 104*2/SIKA	BC1F1	KR 104	DP	SIKA	RP	xbl-2018-P3				
81	8eb5ee77-59a0-4f16-965c-620755e71fe4	189695017802227833536974906168166522852	XBL-167-81	Plate-44401	A11	XBL-167	191	KR 104*2/SIKA	BC1F1	KR 104	DP	SIKA	RP	xbl-2018-P3				
82	63d1140c-9c5b-4976-8169-25f38d1cd49c	132679168273460494296929141157328114844	XBL-167-82	Plate-44401	B11	XBL-167	191	KR 104*2/SIKA	BC1F1	KR 104	DP	SIKA	RP	xbl-2018-P3				
83	b7f19ccb-9483-45ac-a929-2bba7a22414e	244503246956724138020364416130352300366	XBL-167-83	Plate-44401	C11	XBL-167	191	KR 104*2/SIKA	BC1F1	KR 104	DP	SIKA	RP	xbl-2018-P3				
